Rank,Who,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P
1.0,048. WHOAMI Final Battle: MinaRagy06- AbdelmagedNour,13.0,1062.0,+00:14,+00:14,+00:31,,+02:13,+102:21,+201:04,+01:04,+01:13,+01:48,+00:36,+03:41,+01:01,,+100:22,
2.0,003. Katkoten W Tmra: Moatazoleq- M0N,12.0,1207.0,+00:25,+00:25,+01:04,,+02:52,+02:52,+301:36,+01:37,+02:33,+02:34,+00:19,,+101:51,,+00:39,
3.0,043. 50 Green Jits: 3mara- SirPh,12.0,1335.0,+00:15,+00:14,+101:53,,+02:47,+102:56,+01:32,+701:32,+02:13,+03:41,+00:29,,+01:11,,+100:12,
4.0,059. Timon w Pumbaa: Amigoo- Sersawy,11.0,904.0,+00:27,+00:27,+01:50,,+02:31,+202:51,+00:09,+201:07,+02:38,,+00:22,,+00:49,,+00:33,
5.0,005. 2-SAD: _ahmed_tawfik_- ahmed.elbakly,11.0,923.0,+200:24,+00:24,+101:34,,+02:05,+02:11,+100:45,+101:46,+02:36,,+00:17,,+01:10,,+00:31,
6.0,035. Strangers: 3bkarm- Eslam_Saleh,11.0,996.0,+00:23,+00:23,+01:29,,+03:25,+03:25,+00:42,+02:23,+02:08,-1,+00:58,,+01:06,,+00:14,-5
7.0,070. Heisendoksh: Kareem_Elgoker- _Sherbiny,11.0,1048.0,+00:45,+00:45,+00:40,-2.0,,,+101:10,+101:25,+01:59,-1,+100:07,+03:33,+101:33,,+00:58,+102:53
8.0,076. مؤمن بالله وانا ادهم: momen159- Mysterious109,11.0,1184.0,+100:07,+00:09,+01:53,,+203:27,+203:53,+200:47,+301:35,+02:31,,+00:26,,+01:04,,+00:32,
9.0,022. 4SITP: Mr.Pie- yahia,11.0,1195.0,+00:11,+00:11,+00:49,,+103:11,+03:11,+701:38,+03:35,+01:49,-3,+00:07,,+101:27,,+100:26,
10.0,067. Maharat Da3: Chinese_- SkillZz_,11.0,1250.0,+00:14,+00:30,+00:55,,+02:44,+203:41,+101:18,+201:30,+203:59,,+01:04,,+101:48,,+00:27,
11.0,021. Saad Nabeha: -Berry-- AhmedPlusPlus,11.0,1307.0,+00:18,+00:18,+01:15,,+02:39,+02:39,+301:30,+1003:59,+02:56,,+00:11,-1,+00:53,,+100:29,
12.0,001. سد النهضة: MahmoudKhater- WisdomCasual,11.0,1385.0,+00:31,+00:31,+02:36,,+02:00,+02:01,+303:03,+03:04,+103:32,,+100:25,,+02:55,,+00:47,
13.0,008. 3la Elmashy: zyadhany- Karim_Abdelaziz,10.0,844.0,+00:40,+00:40,+01:16,,+103:21,-5,+01:19,+100:18,+02:22,,+00:30,,+101:49,,+00:49,
14.0,015. عامل تمام: Om4rr- Hamed_,10.0,924.0,+00:28,+00:35,+01:17,,+03:01,-1,+01:27,+102:14,+02:30,,+100:55,,+01:43,,+00:34,
15.0,006. EOI - MOoooo satalanaaa: Baraa-Ahmed- O_Elmasry,10.0,1148.0,+00:25,+00:25,+201:43,,+302:28,+02:29,+201:22,-2,-5,-1,+00:31,+803:28,+01:10,,+00:07,
16.0,007. E7na Gayeen Nozha Wla EEEH: OmarAnalog- Ahmed_Ashraf_f,9.0,536.0,+00:37,+00:37,+101:15,,,,+100:24,+00:24,+01:55,,+00:47,,+01:38,,+00:39,-5
17.0,080. انا جايلك وناويها: guess_who- MemoMeto35,9.0,717.0,+00:30,+00:32,+01:28,,-1,,+201:02,+02:02,+02:24,,+00:41,,+01:43,,+00:55,
18.0,014. tet7al_binary_search?: detective...dots- ahmedalaa22,9.0,719.0,+00:16,+00:16,+201:55,,,,+101:03,+101:31,+02:56,-3,+00:10,,+02:04,,+00:28,
19.0,033. Mafeesh wa2t lel tafkeer: B_3- Yousef.Osama,9.0,742.0,+00:14,+00:16,+101:57,,,,+201:01,+01:22,+03:36,,+200:08,,+01:32,,+00:36,-2
20.0,026. كبدة المنوفيه: meligy122- Khalwsh,9.0,757.0,+00:55,+100:54,+101:33,,-9,-1,+00:43,+01:25,+02:35,,+00:31,,+102:03,,+00:58,
21.0,050. مش فارقة، أي حاجة: MohammadAbduljalil- ismailfateen,9.0,785.0,+00:20,+00:21,+202:29,,,,+300:54,+301:27,+01:59,,+00:13,,+02:09,,+00:33,
22.0,053. Drop table competitors: Yooussef- Mousa,9.0,804.0,+100:29,+00:33,+102:22,,-2,-8,+201:10,+01:54,+02:45,,+00:27,,+01:26,,+00:58,
23.0,031. Manga 3wees: Mazen_Ghanayem- Mhmud_Sameh24,9.0,821.0,+00:50,+00:51,+01:15,,-1,-1,+01:29,+402:06,+02:42,,+00:15,,+02:17,,+00:36,
24.0,012. PGs ?: PG_Mazen- PG_Abdo,9.0,850.0,+00:15,+101:10,+200:59,,,,+01:23,+102:18,+02:40,,+00:25,,+01:56,,+01:44,
25.0,004. Tired and Retired: AliRagab313- A.R.A,9.0,1002.0,+00:11,+00:09,+202:02,,,,+301:21,+201:20,+603:28,-4,+00:24,,+102:38,,+00:29,
26.0,030. Shallow Red: Amadoo- AhmedOsamaEzz,9.0,1095.0,+100:29,+00:29,+02:58,,-9,-6,+601:26,+03:11,+03:20,,+00:09,,+02:15,,+01:38,
27.0,073. Wa_Nueid: Al-Hassan_Mohamed- MahmoudBassem,9.0,1105.0,+00:13,+00:23,+303:18,,+101:18,-6,+03:40,+503:38,,,+00:53,,+01:42,,+00:20,
28.0,142. DDoS attack: Escape- Novel_,9.0,1204.0,+00:28,+00:28,+103:14,,,,+602:28,+02:29,+203:56,,+00:20,,+101:57,,+101:04,
29.0,009. Started from the bottom: ahmedhusseinali107- arwa_khattab,8.0,562.0,+00:17,+00:17,+102:43,,,,+01:03,,+01:59,,+00:25,,+01:40,,+00:38,
30.0,078. تم تعبئة الكرش بنجاح: BluoCaroot- Zoz,8.0,584.0,+00:26,+00:26,+402:33,,-1,,+100:56,-4,+01:35,,+100:29,,+01:08,,+00:11,-1
31.0,082. DP or not to be: zedanov- Destiny,8.0,610.0,+00:23,+00:23,+201:50,,-2,,+01:15,,+02:50,,+00:38,,+02:00,,+00:11,
32.0,131. Just for keef: EslamSamy2002- Mohamed_m.m.r,8.0,680.0,+00:19,+00:20,+03:44,,,,+01:27,+02:04,,,+01:09,,+01:38,,+00:39,
33.0,056. White Morning!!!: Mahmoud-Atia- Hawara,8.0,684.0,+00:33,+00:33,+01:23,,-1,-1,+401:59,-9,+03:24,,+00:23,,+01:34,,+00:15,
34.0,086. Pistachio FanClub: Kachef- AmrT,8.0,695.0,+00:45,+00:46,+203:04,,,,+00:12,,+03:34,,+00:39,,+01:30,,+00:25,
35.0,010. chmod777: 3alam- 0xEssam,8.0,715.0,+00:06,+100:08,+102:49,,-2,,+101:08,-1,+103:32,,+00:34,,+101:30,,+00:28,
36.0,039. M3lsh: MeZoxx7- MOD-Essam,8.0,762.0,+00:19,+00:19,+02:25,,-1,-3,+101:06,+202:55,,,+201:33,,+01:48,,+00:37,
37.0,128. Codey Pistachio: Znno- hadad,8.0,934.0,+200:32,+00:32,+403:04,,-5,-6,+601:46,,+102:14,,+100:51,,+01:28,,+00:27,
38.0,040. Nested Pure Life: Youssef_Elwazzan- Hamed5001,8.0,950.0,+00:23,+00:26,-1,,,,+501:10,+402:42,+203:48,,+200:40,,+01:28,,+00:53,
39.0,149. Tm Ta3be2at Al Kersh Benaga7: mohammed84farouk- bakry111,8.0,999.0,+00:49,+00:49,,,,,+03:18,+603:17,+02:47,,+201:09,,+01:26,,+00:24,
40.0,066. Participating Limit Exceeded: Faresov- K3br,8.0,1041.0,+200:21,+100:34,+201:12,,-1,,+401:37,-5,+203:16,,+02:04,,+02:27,,+02:10,
41.0,103. Two newbies: MiraculousN- Shoeib,8.0,1078.0,+00:25,+00:26,+302:57,,,,+1002:01,+02:24,-8,-1,+00:42,,+01:40,,+401:43,
42.0,019. يارب الخلاص عشان خلاص: Hmzaawy- Islam_Imad,8.0,1225.0,+101:00,+01:03,+302:36,,,,+601:12,+203:08,,,+01:40,,+103:36,,+101:30,
43.0,061. ElTeyran Elnayma: MEDAA- pharaok,7.0,464.0,+00:37,+100:37,,,,,+100:51,-5,+02:49,,+00:15,,+01:16,,+00:39,
44.0,024. ana_w_ana: Mahmoud-Hossam- karamellaah,7.0,536.0,+00:29,+100:28,+02:49,,,,+01:03,,-3,,+00:22,,+02:45,,+00:40,-6
45.0,079. deeken mn 8er fera5: JOO.- 7oka_,7.0,623.0,+00:14,+100:24,-8,,,,+100:48,,+103:27,,+00:42,,+02:29,,+100:59,
46.0,083. mt5rg whyt5rg: PaulaEmad- Eiad_Ahmed,7.0,651.0,+01:09,+01:08,-2,,,,+202:32,-1,+01:37,,+00:36,,+101:47,,+01:02,
47.0,072. 5 جنيه بتنجان: MohamedG4- mostafaabdelaal_03,7.0,668.0,+00:56,+00:56,-2,,,,+302:50,-2,+00:35,,+01:09,,+02:59,,+00:43,
48.0,117. Murphy's Law: Bassmala_Abood4- basmala_khaledd,7.0,669.0,+00:29,+00:29,+203:01,,,,+101:47,,,,+01:16,,+02:07,,+01:00,
49.0,095. Mtz3l4 ya 3B3ATY A54 mra walahy: _SHAHIN- _MANS0UR_,7.0,684.0,+01:17,+01:17,-1,,-1,,+01:10,,+03:26,,+00:19,,+101:57,,+01:38,
50.0,036. اولاد العم سامر: Mugiwaraaa- KhaledElhady,7.0,691.0,+00:28,+00:28,,,,,+301:16,+703:21,-1,,+00:22,,+01:37,,+00:39,
51.0,018. Bort2ana: YoussefMorad1- only1ahmed,7.0,784.0,+300:59,+01:00,-9,,,,+200:30,-1,+103:58,,+00:54,,+03:08,,+00:35,
52.0,045. سوبيا و تمر: Ayman_- Moga,7.0,792.0,+200:30,+00:31,+402:55,,,,+02:22,,,,+01:00,,+02:27,,+01:27,
53.0,123. نادي كارهي سيميوني: mo7amed_lebo- Mo_Elaksher,7.0,899.0,+00:27,+00:27,+203:54,,,,+02:03,,,,+203:30,,+01:43,,+101:15,
54.0,104. e7na_noober: darkahmed- Omar-G,7.0,929.0,+200:18,+00:18,-3,,,,+01:17,+1303:44,,,+200:33,,+02:33,,+01:06,-3
55.0,089. Kamusari: Omar_Taha- doola,7.0,966.0,+00:18,+00:24,,,,,+501:54,,+03:49,,+02:18,,+402:58,,+101:05,
56.0,063. RIP Abo El A7naf: EslamSayed- Maro,7.0,1158.0,+101:06,+01:06,+703:58,,,,+302:19,,,,+201:20,,+202:54,,+101:15,
57.0,041. etlamm el mat3os 3ala khaib el raga2: Tesla.- M-Sa3dy,6.0,256.0,+00:14,+00:19,,,,,+300:23,-5,,,+00:35,,+01:03,,+00:42,
58.0,074. Modarseen 3la ma tofrag: mazzenn- abdelrahmansaied,6.0,275.0,+00:28,+00:28,-4,,,,+00:47,,,,+00:16,,+101:39,,+00:37,
59.0,115. Jinxed: MohammedDallash- MariamH,6.0,387.0,+00:30,+00:30,-2,,,,+102:06,-3,,,+00:23,,+01:04,,+01:34,
60.0,150. ManiAC: seiflashin- Dexter_Moorgan,6.0,465.0,+100:24,+100:45,,,,,+101:17,,,,+01:40,,+02:10,,+00:29,
61.0,125. Gumblyas: Muhammed_Ramadan- Nady_,6.0,469.0,+00:28,+00:45,,,,,+202:05,,,,+01:01,,+02:15,,+00:35,
62.0,143. Proofsensi: Youssefproof- Sensi,6.0,497.0,+00:44,+00:44,,,,,+602:28,,,,+00:19,,+00:34,,+101:08,
63.0,037. Sobia Laban TamrHendy: AR705- Romeo123,6.0,536.0,+100:20,+00:25,-3,,,,+01:33,,,,+200:59,,+202:44,,+01:15,
64.0,044. Code palmer: HassanAdel0- Hassan_Fouad,6.0,580.0,+00:58,+00:59,-4,,,,+201:58,,,,+00:40,,+03:35,,+00:50,
65.0,106. Super (NU): nan- nan,6.0,627.0,+00:21,+00:43,,,,,+100:37,,,,+402:38,,+02:23,,+201:25,
66.0,054. Gaza Ard El3za: Hitham- AhmedYahia,6.0,636.0,+00:37,+00:37,-4,,-3,,+101:12,,,,+01:36,,+702:52,,+100:42,
67.0,119. elmenia_and_eskendrya_UNITED: adhamet- Youssef_7,6.0,664.0,+100:45,+00:46,-1,,,,+02:12,,,,+101:48,,+303:21,,+00:32,
68.0,069. Zero ACPC: Striker009- Hagag,6.0,687.0,+00:29,+100:29,,,,,+503:28,,,,+102:01,,+02:22,,+00:18,
69.0,112. Raikiri Masters: _KAKASHI- Senyao,6.0,709.0,+100:58,+01:02,,,-2,,+101:23,,,,+203:25,,+02:58,,+00:43,
70.0,064. Ah_ya_Alisson_Ah: opop1omar- LA1THY,6.0,721.0,+101:36,+201:52,,,,,+100:55,,,,+301:17,,+202:39,,+00:42,
71.0,111. The Dundies(NU): Abdelrahman_Elatroush- Bohmeid7,6.0,802.0,+00:36,+200:42,+03:25,,,,+402:10,,,,+102:03,,-2,,+101:46,
72.0,099. GrandMustards: ali43- -Banana-,6.0,835.0,+01:05,+301:19,-2,,,,+102:16,,,,+01:55,,+403:01,,+01:39,
73.0,071. شمعون شرفنطح: ahmed-07- HALZOOM,6.0,869.0,+401:32,+01:32,-4,,,,-7,,+02:59,,+100:42,,+303:39,,+01:25,
74.0,102. EOI - sqrt(square head): AbdulazizHany- Square__Head,6.0,875.0,+301:16,+01:18,-3,,,,+102:10,,,,+301:21,,+202:36,,+301:54,
75.0,170. Dp or !(2b): nan- nan,6.0,887.0,+100:34,+00:34,,,,,+502:13,,,,+02:49,,+303:55,,+101:22,
76.0,027. gayeen mn el obour: Taherr- omar-walied-ismail,6.0,1153.0,+00:44,+00:44,+2203:54,,-1,,+02:33,,,,+101:44,,,,+01:54,
77.0,016. العتاوله: ibrahim_ashraf_Temos_Dp- Romaa.m,5.0,326.0,+00:25,+00:25,-3,,,,+101:14,,,,-6,,+02:08,,+00:54,
78.0,100. We need job!: Selim- BigProcrastinator,5.0,406.0,+00:27,+00:40,,,,,-17,,,,+00:44,,+03:02,,+201:13,
79.0,068. AScending: nan- nan,5.0,517.0,+200:37,+00:38,-1,,,,+702:34,,,,+00:50,,,,+00:58,
80.0,084. 4agar El pistachio(NU): El_Mokh- s4b3y,5.0,548.0,+00:43,+201:04,,,,,+402:45,,,,+01:23,,-1,,+01:13,
81.0,153. Gang Of Two: AbdullahFarg- TarekFarag,5.0,551.0,+100:46,+01:00,-9,,,,+102:15,,,,+101:14,,,,+102:36,
82.0,093. Green Fox: AmrElkhodari- FaresF2,5.0,559.0,+00:13,+00:14,,,,,+602:50,,,,-4,,+03:14,,+00:48,
83.0,090. linux_users_101: Nagisa-Furukawa- Z.I.A.D,5.0,588.0,+501:05,+01:06,,,,,+01:46,,,,-10,,+02:39,,+01:32,
84.0,133. الألمانية لمكافحة الحشرات: ahmedmahero- ibluefox,5.0,624.0,+200:50,+101:20,,,,,+203:30,-1,,,+00:56,,,,+02:08,
85.0,156. Block Lel Adhock: Homz- El7abal,5.0,1054.0,+1003:34,+203:36,,,,,-15,,,,+201:21,,+03:12,,+100:51,
86.0,134. Eulerian Powder.: Euler.- powder.,4.0,303.0,+100:21,+00:28,-2,,,,-7,,,,,,+03:03,,+00:51,
87.0,120. Ma tBinary search ya fala7: aboalseed- Ahmed_Akram,4.0,337.0,+00:37,+100:37,-6,,,,,,,,+01:15,,,,+301:48,
88.0,124. EOI-Unique: Faissel- osama_sakr,4.0,363.0,+100:56,+00:58,,,,,+201:52,,,,-3,,,,+01:17,
89.0,137. لم يسلم الكود و فر هاربا: Mariam_Elshahat- Ganna_Gamal,4.0,439.0,+100:51,+00:52,,,,,+503:03,-1,,,,,,,+00:33,
90.0,091. disqualifiers: hamzasayed596- a_marzouk,4.0,447.0,+01:31,+01:33,,,,,-7,,,,+201:14,,-1,,+02:29,
91.0,139. Shay blbn(NU): Mhossam22- AMRGhayth,4.0,484.0,+101:09,+01:10,,,,,-7,,,,,,+03:41,,+01:44,
92.0,096. ERROR (NU): Ziad_Aboud- Ali_Hany,4.0,545.0,+301:58,+01:58,,,,,,,,,-8,,+02:49,,+101:00,
93.0,034. El7enklis: Kaine-- zoroxide,4.0,561.0,+01:36,+01:38,,,,,-10,,,,,,+03:29,,+201:58,
94.0,169. فوانيس القمبوطر: abrakadbra- Bombard2.0,4.0,576.0,+00:44,+00:45,,,-2,,+303:23,,+03:44,,,,,,-2,
95.0,154. Bnat El7ag DP: PalindromeRo_- negativeRate,4.0,583.0,+201:46,+02:54,,,,,-12,,,,+202:01,,,,+01:42,
96.0,094. thnya elnaggar y5ls: Youssef_Ayman- elnaggar21,4.0,670.0,+100:43,+201:01,,,,,+102:56,,,,,,,,+503:30,
97.0,011. Kamony: osama392maher- Sa7afy22,4.0,703.0,+01:54,+01:55,,,,,+703:10,-1,,,-3,,,,+02:24,
98.0,023. Unexpected Bobs: Kuroudo- joonyou,4.0,767.0,+201:09,+101:13,,,,,+1203:58,,,,-2,,,,+01:27,
99.0,085. int best_room = 114: Omarovic114- 3bha,4.0,781.0,+902:05,+202:16,,,,,-4,-4,,,-5,,+303:16,,+00:44,
100.0,151. Ana m4 z3lan bs el 25K htt2ssem 3lena: 3B3ATY- Megzz24,4.0,862.0,+901:49,+01:49,,,,,-2,,,,+301:57,,,,+503:07,
101.0,042. Hya k7k wla k3k: -Apple-- Noraelkarry00,4.0,973.0,+603:18,+03:19,-1,,,,+503:30,,-1,,-1,,,,+102:06,
102.0,129. Delusional Addicts: ruby_scarlet- Layla_Abdalla,3.0,152.0,+00:36,+00:37,,,,,-2,,,,-2,,-2,,+01:19,
103.0,163. Eltakweed wl noor: Yousef_Fawzy- Z_CodeFather,3.0,205.0,+200:42,+00:44,,,,,-4,,,,,,-3,,+01:19,
104.0,058. Patience Limit Exceeded: Ziad_Ebrahim- mariam197,3.0,229.0,+201:10,+101:11,,,,,-9,,,,,,,,+00:28,-3
105.0,158. Code- What Code ?! (NU): M.medhat2005- 3mkMostafa,3.0,244.0,+101:03,+01:04,,,,,-4,,,,-3,,,,+101:17,
106.0,032. Code_del_ray: Raghad- aya_B,3.0,291.0,+100:24,+00:25,,,-3,,-9,-2,,,-1,,,,+103:22,
107.0,159. A5wat Banat El7ag DP: tsbeehismaill- Manoooooon,3.0,313.0,+201:20,+01:20,,,,,-2,,,,,,,,+01:53,
108.0,138. Last Thread of Hope After El-Thread of Hope el A2wlany: 3laa2Turing- Yansoon,3.0,337.0,+100:27,+00:28,,,,,-5,,,,-2,,,,+403:02,
109.0,165. (NU) قاع هامور: AhmedAbosedaira- spongebob12,3.0,389.0,+100:47,+402:25,,,,,-2,,,,,,,,+01:37,
110.0,121. Out of Zag: ShaFeiii- GrayNextCentury,3.0,552.0,+102:28,+102:29,,,,,-13,,,,,,,,+03:35,
111.0,167. Nile_Navigators (NU): Mohamed_Elsadany- alsammany,3.0,699.0,+303:16,+03:17,,,,,-2,,,,,,,,+103:46,
112.0,113. Tactical chaos: Ziad3ssam10- mangao,3.0,710.0,+703:12,+03:12,,,,,-3,,,,,,,,+202:26,-1
113.0,126. Parcellzy: Cellz- parlerler,2.0,137.0,+200:48,+00:49,,,-3,,,,,,,,,,,
114.0,132. EL-7ankalees (NU): WekaLop- sandcantthink,2.0,235.0,+202:06,-2,,,,,-1,,,,-3,,,,+01:09,
115.0,110. El mot5alzleen (NU): Samer_Elhossieny- Nassar1,2.0,300.0,+302:35,-4,,,,,,,,,-3,,,,+01:25,
116.0,087. Mojahedin: -Abosalem-- MahmoudNasser8080,2.0,466.0,+503:13,-3,,,,,-2,,,,-2,,,,+102:33,
117.0,118. The smashers of the [REDACTED]: markalmax- joe201610a,2.0,552.0,+503:26,-3,,,,,,,,,,,,,+103:46,
118.0,127. Milk&Moka (NU): Mariam-Sherif-Elbadry- nadaahmed142,2.0,558.0,+603:51,,,,,,,,,,,,,,+103:07,
119.0,147. اسال عني (NU): Mohamedbasselhamed- nan,1.0,96.0,-4,,,,,,,,,,,,,,+01:36,
120.0,146. Cache me if you can (NU): Wesalmagdi- noranelhalwagui515,1.0,110.0,-8,,,,,,,,,,,,,,+01:50,
121.0,161. B3on allah accepted (NU): Macrophage_1010- zeinabahgat,1.0,231.0,-5,,,,,,,,,,,,,,+302:51,
122.0,148. Shinzou wo Debugeyo (NU): Mariam12Gamal- dareen_20,0.0,0.0,,,,,,,,,,,-1,,,,-4,
122.0,116. Zero Day Coders (NU): nan- nan,0.0,0.0,,,,,,,,,,,,,,,,
122.0,136. Elteran ely mesh hayga (NU): Peterr991- Mma165,0.0,0.0,-13,-1,,,,,,,,,-1,,,,,
122.0,166. Dragons(NU): nan- nan,0.0,0.0,,,,,,,,,,,,-3,,,,
122.0,122. S&A (NU): nan- nan,0.0,0.0,,,-5,,,,,,,,,,,,,
122.0,105. time wla zy kol sana: Zeyad_Zahran- omarkhaled1812,0.0,0.0,-5,,,,,,,,,,,,,,-3,
122.0,047. 3okha we rabak yfokaha: abdullah_fayed- AhmedWaelMaarouf01,0.0,0.0,,,,,,,-8,,,,,,,,,
122.0,155. ByteAlchemy (NU): DALIA_13- Yomna_Saad,0.0,0.0,-9,-2,,,,,,,,,,,-1,,,
122.0,088. الحد الأدنى (NU): Osama_Ibrahim_- nan,0.0,0.0,,,,,,,,,,,,,,,-1,
122.0,162. Quick Log-out (NU): koka_gamal- MosTafA30411,0.0,0.0,-5,,,,,,,,,,,,-4,,,
122.0,097. VortexX(NU): taghreed_oyoun- Rania_Ossama,0.0,0.0,,,,,,,-6,,,,,,,,,
122.0,152. El ghabez (NU): Youssef_Hazem82- Yahia_zakaria_,0.0,0.0,-6,-1,,,,,,,,,-2,,,,,
,Accepted,,,118,113,47,0.0,15,12,89,35,45,3,86,3,84,0.0,119,1
,Tried,,,126,120,70,1.0,34,22,114,51,50,10,105,5,91,0.0,123,9
