Id,How old are you?,What best describes your current role or background?,Have you used AI-powered tools for software development?,Which tools of AI tools you prefer the most?,Rate your AI tool,AI Adoption & Usage in Software Development.AI-powered tools have improved my efficiency as a developer,AI Adoption & Usage in Software Development.I frequently use AI-assisted coding tools in my workflow,AI Adoption & Usage in Software Development.AI tools have reduced the time I spend on repetitive coding tasks,AI Adoption & Usage in Software Development.I trust AI-generated code without extensive manual review,AI Adoption & Usage in Software Development.AI-powered debugging tools help me identify and fix errors faster,AI Adoption & Usage in Software Development.I rely on AI tools for learning and improving my coding skills,AI Adoption & Usage in Software Development.AI-generated code suggestions align well with best practices in software development,AI Adoption & Usage in Software Development.The AI tools I use provide relevant and accurate code recommendations,How often will you use ai tools?,"On a scale of 1-5, how much do you trust AI-generated code without manual review?",How satisfied are you with this product or service regarding the following factors？.AI-assisted coding speeds up my development process.,How satisfied are you with this product or service regarding the following factors？.AI has reduced the time I spend debugging my code.,How satisfied are you with this product or service regarding the following factors？.AI-generated code improves my overall code quality.,How satisfied are you with this product or service regarding the following factors？.AI has made me more confident in tackling complex programming problems.,How satisfied are you with this product or service regarding the following factors？.AI-assisted development allows me to focus more on problem-solving and design.,How satisfied are you with this product or service regarding the following factors？.The productivity gains from AI tools outweigh the time spent reviewing AI-generated code.,How satisfied are you with this product or service regarding the following factors？.AI enhances team collaboration by providing consistent coding suggestions.,How satisfied are you with this product or service regarding the following factors？.AI has significantly improved my ability to meet project deadlines.,Which AI features have contributed the most to your productivity?,How long have you been using this ai tool?,Has AI reduced the time you spend on repetitive coding tasks?,Do you believe AI helps junior developers learn to code faster?,Have you participated in any programming problem-solving contests?,Did AI tools help you in solving specific problems during the contests?
8,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;Deepseek;Github Copilot;,4,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Daily,3,Agree,Strongly agree,Neutral,Agree,Neutral,Strongly agree,Agree,Strongly agree,Auto-completion & code suggestions;Learning & knowledge retrieval;Debugging & troubleshooting assistance;,More than 2 years,"Yes, significantly","Somewhat, but it can also encourage bad habits",Yes,Yes
9,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;Deepseek;Github Copilot;Claude;Gemini - Google;,5,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Daily,3,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Code refactoring & optimization;,More than 2 years,"Yes, significantly",Yes,Yes,Yes
10,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;Deepseek;Github Copilot;,5,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Agree,Daily,3,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Learning & knowledge retrieval;Auto-completion & code suggestions;Code refactoring & optimization;Debugging & troubleshooting assistance;,13 -  24 months,"Yes, significantly","Somewhat, but it can also encourage bad habits",Yes,No
11,18–24,University student;Self-taught programmer;,"Yes, frequently",ChatGPT - Open AI;Deepseek;Github Copilot;Gemini - Google;,3,Neutral,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Daily,4,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Debugging & troubleshooting assistance;Learning & knowledge retrieval;Code refactoring & optimization;,13 -  24 months,Somewhat,"Somewhat, but it can also encourage bad habits",Yes,No
12,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;,5,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Daily,3,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Debugging & troubleshooting assistance;,More than 2 years,"Yes, significantly",Yes,Yes,Yes
13,18–24,University student;,"Yes, occasionally",Github Copilot;,5,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Daily,3,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Learning & knowledge retrieval;Auto-completion & code suggestions;Code refactoring & optimization;Automated documentation;Debugging & troubleshooting assistance;,13 -  24 months,"Yes, significantly",Yes,No,
14,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;,4,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Daily,5,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Code refactoring & optimization;Automated documentation;Auto-completion & code suggestions;Debugging & troubleshooting assistance;,13 -  24 months,"Yes, significantly","Somewhat, but it can also encourage bad habits",No,
15,18–24,University student;Self-taught programmer;Researcher;,"Yes, frequently",ChatGPT - Open AI;Deepseek;Grok ai- notebookml;,4,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Daily,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Debugging & troubleshooting assistance;Auto-completion & code suggestions;Learning & knowledge retrieval;Code refactoring & optimization;,13 -  24 months,Somewhat,"Somewhat, but it can also encourage bad habits",Yes,No
16,18–24,University student;Professional software developer;,"Yes, occasionally",Claude;ChatGPT - Open AI;,4,Agree,Agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Neutral,Daily,2,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Disagree,Strongly agree,Learning & knowledge retrieval;Automated documentation;Debugging & troubleshooting assistance;,13 -  24 months,"Yes, significantly",Yes,Yes,Yes
17,18–24,University student;,"Yes, occasionally",ChatGPT - Open AI;,4,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Agree,Daily,3,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Auto-completion & code suggestions;Automated documentation;,7 - 12 months,"Yes, significantly","Somewhat, but it can also encourage bad habits",No,
18,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;,4,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Neutral,Agree,Daily,2,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Learning & knowledge retrieval;Code refactoring & optimization;,7 - 12 months,"Yes, significantly","Somewhat, but it can also encourage bad habits",No,
19,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Daily,2,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Code refactoring & optimization;,More than 2 years,"Yes, significantly",Yes,No,
20,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;,4,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Daily,2,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Auto-completion & code suggestions;Debugging & troubleshooting assistance;Learning & knowledge retrieval;,13 -  24 months,Somewhat,Yes,No,
21,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;,3,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Weekly,3,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Automated documentation;,13 -  24 months,"Yes, significantly","Somewhat, but it can also encourage bad habits",Yes,Yes
22,25–34,Professional software developer;Self-taught programmer;,"Yes, occasionally",Deepseek;,5,Neutral,Neutral,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Daily,4,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Automated documentation;,7 - 12 months,"Yes, significantly",Yes,Yes,Yes
23,25–34,Professional software developer;,"Yes, frequently",ChatGPT - Open AI;Github Copilot;,5,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Daily,4,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Debugging & troubleshooting assistance;Code refactoring & optimization;Auto-completion & code suggestions;Automated documentation;Learning & knowledge retrieval;,13 -  24 months,"Yes, significantly","Somewhat, but it can also encourage bad habits",Yes,No
24,18–24,University student;,"No, and I don’t plan to",Github Copilot;,2,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Weekly,1,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Debugging & troubleshooting assistance;,7 - 12 months,No noticeable difference,"Somewhat, but it can also encourage bad habits",No,
25,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;,4,Disagree,Strongly disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Daily,3,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Code refactoring & optimization;,7 - 12 months,Somewhat,"Somewhat, but it can also encourage bad habits",Yes,No
26,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;Deepseek;Github Copilot;Gemini - Google;,4,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Daily,4,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Auto-completion & code suggestions;Debugging & troubleshooting assistance;Automated documentation;Learning & knowledge retrieval;,13 -  24 months,"Yes, significantly",Yes,No,
27,18–24,University student;,"Yes, frequently",ChatGPT - Open AI;Github Copilot;Claude;,4,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Agree,Disagree,Neutral,Daily,3,Strongly agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Debugging & troubleshooting assistance;Automated documentation;Learning & knowledge retrieval;,More than 2 years,"Yes, significantly","Somewhat, but it can also encourage bad habits",Yes,No
28,25–34,Researcher;,"Yes, occasionally",ChatGPT - Open AI;Github Copilot;Gemini - Google;,4,Agree,Disagree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Weekly,3,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Disagree,Learning & knowledge retrieval;,7 - 12 months,Somewhat,"No, it reduces critical thinking skills",No,
29,18–24,University student;,"Yes, frequently",Deepseek;ChatGPT - Open AI;grok;,3,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Neutral,Daily,2,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Debugging & troubleshooting assistance;Code refactoring & optimization;Auto-completion & code suggestions;,13 -  24 months,Somewhat,"No, it reduces critical thinking skills",Yes,No
30,25–34,Researcher;,"Yes, frequently",ChatGPT - Open AI;Gemini - Google;Perplexity ;,5,Neutral,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Neutral,Agree,Weekly,1,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Debugging & troubleshooting assistance;Code refactoring & optimization;,7 - 12 months,"Yes, significantly","Somewhat, but it can also encourage bad habits",No,
